PURGADOR,,,,
CÓDIGO,ROSCA,"EMP.
(uds.)",CAJA,P. V.
N240630,M6 X 1.00 X 30,800,8 CTO,$68.52
N240731,M7 X 1.00 X 31,800,8 CTO,$68.52
N242828,M8 X 1.00 X 28,800,8 CTO,$68.52
N242831,M8 X 1.00 X 31,700,7 CTO,$68.52
N240831,M8 X 1.25 X 31,800,8 CTO,$68.52
N245036,M10 X 1.00 X 36,500,5 CTO,$68.52
N241036,M10 X 1.50 X 36,500,5 CTO,$68.52
N246527,"5/16"" -24 X 27",700,7 CTO,$68.52
N246629,"3/8""-24 X 29",500,5 CTO,$68.52
N246637,"3/8""-24 X 37",350,3.5 CTO,$68.52
N246737,"7/16"" -24 X 37",400,4 CTO,$68.52
PRECIO DE VENTA POR CIENTO (INC. IGV),,,,
