"Marca: Toyota
Modelo: Corolla, Prius, Probox,
Urban Cruiser, Vitz, Yaris
Ubicación: Barra estabilizadora
delantera
Posición: R/L
EMP.
CAJA P. V.
(uds.)",,,
,"EMP.
(uds.)",CAJA,P. V.
,,,
,10,100 PZA,$26.66
,PRECIO DE VENTA POR UNIDAD,,
"Marca: Toyota
Modelo: Caldina, Camry, Celica,
Corolla, Corona, Sprinter
Ubicación: Barra estabilizadora
delantera
Posición: R/L
EMP.
CAJA P. V.
(uds.)",,,
,"EMP.
(uds.)",CAJA,P. V.
,,,
,10,50 PZA,$15.62
,PRECIO DE VENTA POR UNIDAD,,
"Marca: Toyota, Chery
Modelo: Rav4, Corolla, Celica
Ubicación: Barra estabilizadora
delantera
Posición: R/L
EMP.
CAJA P. V.
(uds.)",,,
,"EMP.
(uds.)",CAJA,P. V.
,10,50 PZA,$15.26
,PRECIO DE VENTA POR UNIDAD,,
"Marca: Toyota
Modelo: Rav4(00-05)
Ubicación: Barra estabilizadora
delantera
Posición: L
EMP.
CAJA P. V.
(uds.)",,,
,"EMP.
(uds.)",CAJA,P. V.
,10,20 PZA,$17.39
,PRECIO DE VENTA POR UNIDAD,,
