PERNO CENTRAL DE MUELLE
DINA®
Imagen referencial
PERNO CENTRAL CABEZA BAJA UNF GR.5
EMP.
CÓDIGO MEDIDA CAJA P. V. CÓDIGO EMP. (uds.) CAJA P. V.
(uds.)
A255505 5/16” X 2 1/2” 10 PZA $0.26 A259505 PZA $0.26
A255506 5/16” X 3” 10 680 PZA $0.27 A259506 680 PZA $0.27
A255606 3/8” X 3” 10 500 PZA $0.38 A259606 10 500 PZA $0.38
A255608 3/8” X 4” 10 370 PZA $0.47 A259608 10 370 PZA $0.47
A255610 3/8” X 5” 10 320 PZA $0.59 A259610 10 320 PZA $0.59
A255612 3/8” X 6” 10 250 PZA $0.70 A259612 10 250 PZA $0.70
A255616 3/8” X 8” 10 240 PZA $0.90 A259616 10 240 PZA $0.90
A255708 7/16” X 4” 10 260 PZA $0.60 A259708 10 260 PZA $0.60
A255710 7/16” X 5” 10 270 PZA $0.72 A259710 10 270 PZA $0.72
A255712 7/16” X 6” 10 200 PZA $0.84 A259712 10 200 PZA $0.84
A255716 7/16” X 8” 10 170 PZA $1.07 A259716 10 170 PZA $1.07
A255720 7/16” X 10” 10 140 PZA $1.32 A259720 10 140 PZA $1.32
A255808 1/2” X 4” 10 200 PZA $0.87 A259808 10 200 PZA $0.87
A255810 1/2” X 5” 10 160 PZA $1.05 A259810 10 160 PZA $1.05
A255812 1/2” X 6” 10 160 PZA $1.09 A259812 10 160 PZA $1.09
A255816 1/2” X 8” 10 120 PZA $1.42 A259816 10 120 PZA $1.42
A255818 1/2” X 9” 10 110 PZA $1.57 A259818 10 110 PZA $1.57
A255820 1/2” X 10” 10 95 PZA $1.72 A259820 10 95 PZA $1.72
A255824 1/2” X 12” 10 75 PZA $2.04 A259824 10 75 PZA $2.04
A255912 9/16” X 6” 10 A259912 10
A255916 9/16” X 8” 10 100 PZA $2.12 A259916 10 100 PZA $2.12
A255920 9/16” X 10” 10 80 PZA $2.55 A259920 10 80 PZA $2.55
A255924 9/16” X 12” 10 25 PZA $3.01 A259924 10 25 PZA $3.01
A256016 5/8” X 8” 10 80 PZA $2.60 A2510016 80 PZA $2.60
A256020 5/8” X 10” 10 65 PZA $2.94 A2510020 65 PZA $2.94
A256024 5/8” X 12” 10 50 PZA $3.36 A2510024 50 PZA $3.36
PRECIO DE VENTA POR UNIDAD (INC. IGV)
Índice www.dina.com.pe 167
