PERNO CENTRAL CABEZA LARGA UNF GR. 5,,,,,,,,
CÓDIGO,MEDIDA,"EMP.
(uds.)",CAJA,P. V.,CÓDIGO,EMP. (uds.),CAJA,P. V.
A375608,3/8” X 4”,5,400 PZA,$1.09,A3795608,5,400 PZA,$1.09
A375610,3/8” X 5”,5,250 PZA,$1.18,A3795610,5,250 PZA,$1.18
A375612,3/8” X 6”,5,250 PZA,$1.35,A3795612,5,250 PZA,$1.35
A375712,7/16” X 6”,5,180 PZA,$1.39,A3795712,5,180 PZA,$1.39
A375716,7/16” X 8”,5,154 PZA,$1.78,A3795712,5,154 PZA,$1.78
A375812,1/2” X 6”,5,130 PZA,$2.37,A3795812,5,130 PZA,$2.37
A375816,1/2” X 8”,5,90 PZA,$2.89,A3795816,5,90 PZA,$2.89
A375820,1/2” X 10”,5,70 PZA,$3.42,A3795820,5,70 PZA,$3.42
A375824,1/2” X 12”,5,60 PZA,$4.28,A3795824,5,60 PZA,$4.28
A375828,1/2” X 14”,5,80 PZA,$4.47,A3795828,5,80 PZA,$4.47
A375830,1/2” X 15”,5,80 PZA,$4.74,A3795830,5,80 PZA,$4.74
A375916,9/16” X 8”,5,,,A3795916,5,,
A375920,9/16” X 10”,5,,,A3795920,5,,
A375924,9/16” X 12”,5,,,A3795924,5,,
A376016,5/8” X 8”,5,60 PZA,$4.05,A3796016,5,60 PZA,$4.05
A376020,5/8” X 10”,5,60 PZA,$4.93,A3796020,5,60 PZA,$4.93
A376024,5/8” X 12”,5,60 PZA,$5.77,A3796024,5,60 PZA,$5.77
A376028,5/8” X 14”,5,50 PZA,$6.16,A3796028,5,50 PZA,$6.16
PRECIO DE VENTA POR UNIDAD (INC. IGV),,,,,,,,
