"Marca: Mercedes-Benz
Modelo: Atego
Dim.: Ø22 x Ø74 x 96 mm.
Ubicación: Hoja de muelle
delantero/posterior
Dureza: Shore 70A
EMP.
CAJA P. V.
(uds.)",,,
,"EMP.
(uds.)",CAJA,P. V.
,,,
,4,50 PZA,$14.54
,PRECIO DE VENTA POR UNIDAD,,
"Marca: Mercedes-Benz
Modelo: Actros, Antos, Arocs,
Axor
Dim.: Ø24 x Ø63 x 106 mm.
Ubicación: Hoja de muelle
posterior
Dureza: Shore 70A
EMP.
CAJA P. V.
(uds.)",,,
,"EMP.
(uds.)",CAJA,P. V.
,,,
,1,5 PZA,$17.49
,PRECIO DE VENTA POR UNIDAD,,
"Marca: Volvo
Modelo: FM7(98-01), FH12(93-05),
FH16(93-06), FM9(01-05), FM10,
FM12(98-05), FH/FM(05-12), FMX,
FL6(00-06) - Premium II TR/PR/ DXi 7,
Kerax /DXi 11/13, C/K
Dim.: Ø26 x Ø56 x 112 mm.
Ubicación: Hoja de muelle posterior
Dureza: Shore 70A
EMP.
CAJA P. V.
(uds.)",,,
,"EMP.
(uds.)",CAJA,P. V.
,1,5 PZA,$16.34
,PRECIO DE VENTA POR UNIDAD,,
"Marca: Mercedes-Benz
Modelo: Accelo
Dim.: Ø30 x Ø55 x 86 mm.
Ubicación: Hoja de muelle
posterior
Posición: Delantera
Dureza: Shore 70A
EMP.
CAJA P. V.
(uds.)",,,
,"EMP.
(uds.)",CAJA,P. V.
,4,8 PZA,$8.50
,PRECIO DE VENTA POR UNIDAD,,
