"MOLETEADO C/ROSCA
Marca: Mitsubishi Fuso
Modelo: Canter
Dim.: Ø28 x 80 mm.
Bocina: Ø28 x Ø34 x 70 mm.
Grado SAE: Clase 10.9
Obs.: Cuello moleteado
EMP.
CAJA P. V.
(uds.)",,,,
,"EMP.
(uds.)",CAJA,P. V.,
,,PZA,$8.11,
,PRECIO DE VENTA POR UNIDAD,,,
"CAB. ½ LUNA C/ROSCA
Marca: Hyundai
Modelo: HD72, HD78
Dim.: Ø28 x 80 mm.
Bocina: Ø28 x Ø34 x 70 mm.
Grado SAE: Clase 10.9
Obs.: Cuello liso
EMP.
CAJA P. V.
(uds.)",,,,
,"EMP.
(uds.)",CAJA,P. V.,
,2,PZA,$9.57,
,PRECIO DE VENTA POR UNIDAD,,,
"2 MUESCA C/ROSCA
Dim.: Ø30 x 120 mm.
Grado SAE: Clase 10.9
EMP.
CAJA P. V.
(uds.)",,,,
,"EMP.
(uds.)",CAJA,P. V.,
,2,PZA,$7.16,
,PRECIO DE VENTA POR UNIDAD,,,
