ESPÁRRAGO MÉTRICO RC - RC CL 8.8,,,
DESCRIPCIÓN,CÓDIGO,P. V.,EMP.
M6 X 20,A180006020,$0.32,PZA
M6 X 25,A180006025,$0.40,PZA
M6 X 30,A180006030,$0.48,PZA
M6 X 35,A180006035,$0.50,PZA
M6 X 40,A180006040,$0.51,PZA
M6 X 45,A180006045,$0.55,PZA
M6 X 50,A180006050,$0.64,PZA
M7 X 30,A180007030,$1.14,PZA
M7 X 35,A180007035,$1.23,PZA
M7 X 40,A180007040,$1.29,PZA
M8 X 25,A180008025,$0.34,
M8 X 30,A180008030,$0.35,
M8 X 35,A180008035,$0.40,
M8 X 40,A180008040,$0.44,PZA
M8 X 45,A180008045,$0.45,
M8 X 50,A180008050,$0.50,PZA
M8 X 60,A180008060,$0.58,PZA
M8 X 70,A180008070,$0.80,PZA
M8 X 80,A180008080,$1.07,
M10 X 30,A180010030,,
M10 X 35,A180010035,$0.47,PZA
M10 X 40,A180010040,$0.51,PZA
M10 X 45,A180010045,$0.55,
M10 X 50,A180010050,$0.59,PZA
M10 X 55,A180010055,$0.77,
PRECIO DE VENTA POR PIEZA (INCLUYE IGV),,,
