BOCINAS BIMETÁLICAS,,,,,,
CÓDIGO,"Ø INT.
(mm.)","Ø EXT.
(mm.)","LONG.
(mm.)","EMP.
(uds.)",CAJA,P. V.
AB3A000001,19.05,25.40,63.50,10,1 PZA,$2.11
AB3A000002,25.00,30.00,68.00,10,PZA,$2.82
AB3A000003,25.00,30.00,77.00,10,PZA,$3.21
AB3A000004,25.00,30.00,81.00,10,PZA,$3.36
AB3A000005,25.00,31.00,68.00,10,PZA,$2.17
AB3A000006,25.00,32.00,68.00,10,PZA,$3.43
AB3A000007,25.00,32.00,98.00,10,PZA,$4.35
AB3A000008,25.00,34.00,70.00,10,130 PZA,$5.18
AB3A000009,25.00,36.00,70.00,10,110 PZA,$5.46
AB3A000010,25.40,31.75,101.60,10,PZA,$4.57
AB3A000011,25.40,31.75,88.90,10,PZA,$3.72
AB3A000012,28.00,32.00,90.00,10,240 PZA,$3.32
AB3A000013,28.00,34.00,70.00,10,PZA,$2.34
AB3A000014,28.00,34.00,78.00,10,PZA,$3.79
AB3A000015,28.00,36.00,70.00,10,PZA,$2.87
AB3A000016,28.00,40.00,72.00,10,90 PZA,$5.75
AB3A000017,30.00,34.00,18.00,10,PZA,$1.40
AB3A000018,30.00,34.00,24.00,10,PZA,$1.60
AB3A000019,30.00,35.00,76.00,10,PZA,$3.03
AB3A000020,30.00,35.00,90.00,10,PZA,$3.16
PRECIO DE VENTA POR UNIDAD (INC. IGV),,,,,,
