ABRAZADERA DE MUELLE GR.8/CL. 10.9,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
CÓDIGO,,,DESCRIPCIÓN,Ø,,D,,W,Th,"EMP.
(uds.)",,"CAJA
(uds.)",,U. M.,P. V.
AIC11141422,,,AB. CUADRADA,7,"/8""",,"3 1/2""","11""",UNC,,,,,JGO,$14.20
,AIC1114,,,,,,,,,,,,,,
,9.0 AIC1114,1424,AB. CUADRADA,7,"9.0 /8""",,"3 1/2""","12""",UNC,,,9.0,,JGO,$14.94
,"1 AIC1114
A",1426,AB. CUADRADA,7,"1 /8""
A",,"3 1/2""","13""",UNC,,,"1
A",,JGO,$15.68
,NI AIC1114,1428,AB. CUADRADA,7,"NI /8""",,"3 1/2""","14""",UNC,,,NI,,JGO,$16.42
"D
AIC11141430","D
AIC1114",,AB. CUADRADA,"D
7/8""","D
/8""",,,"15""",UNC,,,D,,JGO,$17.17
AIC11141432,,,AB. CUADRADA,"7/8""",,"3 1/2""",,"16""",UNC,,,,,JGO,$17.91
AIC11141434,,,AB. CUADRADA,"7/8""",,"3 1/2""",,"17""",UNC,,,,,JGO,$18.65
AIC11141436,,,AB. CUADRADA,"7/8""",,"3 1/2""",,"18""",UNC,,,,,JGO,$19.39
AIC11141438,,,AB. CUADRADA,"7/8""",,"3 1/2""",,"19""",UNC,,,,,JGO,$20.13
AIC11141440,,,AB. CUADRADA,"7/8""",,"3 1/2""",,"20""",UNC,,,,,JGO,$20.13
AIC11141614,,,AB. CUADRADA,"7/8""",,"4""",,7'',UNC,,,,,JGO,$11.42
AIC11141616,,,AB. CUADRADA,"7/8""",,"4""",,8'',UNC,,,,,JGO,$12.17
AIC11141618,,,AB. CUADRADA,"7/8""",,"4""",,9'',UNC,,,,,JGO,$12.80
AIC11141620,,,AB. CUADRADA,"7/8""",,"4""",,10'',UNC,,,,,JGO,$13.54
AIC11141622,,,AB. CUADRADA,"7/8""",,"4""",,11'',UNC,,,,,JGO,$14.28
AIC11141624,,,AB. CUADRADA,"7/8""",,"4""",,12'',UNC,,,,,JGO,$15.02
AIC11141626,,,AB. CUADRADA,"7/8""",,"4""",,13'',UNC,,,,,JGO,$15.87
AIC11141628,,,AB. CUADRADA,"7/8""",,"4""",,"14""",UNC,,,,,JGO,$16.61
AIC11141630,,,AB. CUADRADA,"7/8""",,"4""",,15'',UNC,,,,,JGO,$17.22
AIC11141632,,,AB. CUADRADA,"7/8""",,"4""",,16'',UNC,,,,,JGO,$17.95
AIC11141634,,,AB. CUADRADA,"7/8""",,"4""",,17'',UNC,,,,,JGO,$18.69
AIC11141636,,,AB. CUADRADA,"7/8""",,"4""",,18'',UNC,,,,,JGO,$19.58
AIC11141638,,,AB. CUADRADA,"7/8""",,"4""",,19'',UNC,,,,,JGO,$20.32
AIC11141640,,,AB. CUADRADA,"7/8""",,"4""",,20'',UNC,,,,,JGO,$20.32
AIC11161620,,,AB. CUADRADA,"1""",,"4""",,10'',UNC,,,,,JGO,$17.18
AIC11161622,,,AB. CUADRADA,"1""",,"4""",,11'',UNC,,,,,JGO,$18.15
AIC11161632,,,AB. CUADRADA,"1""",,"4""",,16'',UNC,,,,,JGO,$23.15
AIC11161634,,,AB. CUADRADA,"1""",,"4""",,17'',UNC,,,,,JGO,$24.12
AIC15181118,,,AB. CUADRADA,M18,,"2 3/4""",,9'',RF,,,,,JGO,$7.93
AIC15181120,,,AB. CUADRADA,M18,,"2 3/4""",,10'',RF,,,,,JGO,$8.40
AIC15181122,,,AB. CUADRADA,M18,,"2 3/4""""",,11'',RF,,,,,JGO,$8.87
AIC16201420,,,AB. CUADRADA,M20,,"3 1/2""",,10'',RC,,,,,JGO,$11.43
AIC16201422,,,AB. CUADRADA,M20,,"3 1/2""",,11'',RC,,,,,JGO,$12.03
AIC16201424,,,AB. CUADRADA,M20,,"3 1/2""",,12'',RC,,,,,JGO,$12.63
AIC16201618,,,AB. CUADRADA,M20,,"4""",,9'',RC,,,,,JGO,$10.89
AIC16201620,,,AB. CUADRADA,M20,,"4""",,10'',RC,,,,,JGO,$11.49
AIC16201622,,,AB. CUADRADA,M20,,"4""",,11'',RC,,,,,JGO,$12.19
AIC16201624,,,AB. CUADRADA,M20,,"4""",,12'',RC,,,,,JGO,$12.68
PRECIO DE VENTA POR UNIDAD (INC. IGV),,,,,,,,,,,,,,,
