ABRAZADERA DE MUELLE GR.8/CL. 10.9,,,,,,,,,
,,,,,,,,,
CÓDIGO,DESCRIPCIÓN,Ø,D,W,Th,"EMP.
(uds.)","CAJA
(uds.)",U. M.,P. V.
AIS25181340,AB. SC APLANADA,M18,"3 1/4""",20'',RF,,,JGO,$13.85
AIS25181342,AB. SC APLANADA,M18,"3 1/4""",21'',RF,,,JGO,$14.36
AIS25181344,AB. SC APLANADA,M18,"3 1/4""",22'',RF,,,JGO,$14.87
AIS25186318,AB. SC APLANADA M.BENZ,M18,81,"9""",RF,,,JGO,$7.40
AIS25186320,AB. SC APLANADA M.BENZ,M18,81,"10""",RF,,,JGO,$7.97
AIS25186322,AB. SC APLANADA M.BENZ,M18,81,"11""",RF,,,JGO,$8.58
AIS25186332,AB. SC APLANADA M.BENZ,M18,81,"16""",RF,,,JGO,$11.38
AIS25186334,AB. SC APLANADA M.BENZ,M18,81,"17""",RF,,,JGO,$12.08
AIS25186336,AB. SC APLANADA M.BENZ,M18,81,"18""",RF,,,JGO,$12.73
AIS25201320,AB. SC APLANADA,M20,"3 1/4""",10'',RF,,,JGO,$10.51
AIS25201332,AB. SC APLANADA,M20,"3 1/4""",16'',RF,,,JGO,$13.96
AIS25201334,AB. SC APLANADA,M20,"3 1/4""",17'',RF,,,JGO,$14.54
AIS26241432,AB. SC APLANADA,M24,"3 1/2""",16'',RC,,,JGO,$21.04
AIS26241434,AB. SC APLANADA,M24,"3 1/2""",17'',RC,,,JGO,$21.90
AIS26241436,AB. SC APLANADA,M24,"3 1/2""",18'',RC,,,JGO,$22.77
AIS26241438,AB. SC APLANADA,M24,"3 1/2""",19'',RC,,,JGO,$23.63
AIS26241440,AB. SC APLANADA,M24,"3 1/2""",20'',RC,,,JGO,$24.50
AIS26241442,AB. SC APLANADA,M24,"3 1/2""",21'',RC,,,JGO,$25.37
AIS26241444,AB. SC APLANADA,M24,"3 1/2""",22'',RC,,,JGO,$26.23
AIS26241446,AB. SC APLANADA,M24,"3 1/2""",23'',RC,,,JGO,$27.10
AIS26241628,AB. SC APLANADA,M24,4'',14'',RC,,,JGO,$19.52
AIS26241632,AB. SC APLANADA,M24,4'',16'',RC,,,JGO,$21.26
AIS26241642,AB. SC APLANADA,M24,4'',21'',RC,,,JGO,$25.59
AIS26241644,AB. SC APLANADA,M24,4'',22'',RC,,,JGO,$25.23
AIS26271430,AB. SC APLANADA,M27,"3 1/2""",15'',RC,,,JGO,$20.70
AIS26271432,AB. SC APLANADA,M27,"3 1/2""",16'',RC,,,JGO,$21.62
AIS26271434,AB. SC APLANADA,M27,"3 1/2""",17'',RC,,,JGO,$23.95
AIS26271444,AB. SC APLANADA,M27,"3 1/2""",22'',RC,,,JGO,$31.59
AIS26271632,AB. SC APLANADA,M27,"4""",16'',RC,,,JGO,$18.68
AIS26271634,AB. SC APLANADA,M27,"4""",17'',RC,,,JGO,$19.44
AIS26301444,AB. SC APLANADA,M30,"3 1/2""",22'',RC,,,JGO,$39.00
AIU10061012,AB. U,"3/8""","2 1/2""","6""",UNF,,,JGO,$2.99
AIU10061014,AB. U,"3/8""","2 1/2""","7""",UNF,,,JGO,$3.13
AIU10061016,AB. U,"3/8""","2 1/2""","8""",UNF,,,JGO,$2.65
AIU10071012,AB. U,"7/16""","2 1/2""","6""",UNF,,,JGO,$2.85
AIU10071014,AB. U,"7/16""","2 1/2""","7""",UNF,,,JGO,$3.00
AIU10071016,AB. U,"7/16""","2 1/2""","8""",UNF,,,JGO,$3.14
AIU10081014,AB. U,"1/2""","2 1/2""","7""",UNF,,,JGO,$3.38
PRECIO DE VENTA POR UNIDAD (INC. IGV),,,,,,,,,
