PERNO ZAPATA PULGADA UNF,,,,,
Ø,,LARGO,CÓDIGO,P. V.,EMP.
"1/2""",x,"1 1/2""",C8H7504,$92.70,2.5 CTO
"9/16""",x,"1 3/4""",C4K7038,$124.44,2 CTO
"5/8""",x,"2 3/32""",C7H3597,$143.48,1.1 CTO
,x,"2 5/32""",C9G3110,$150.76,1.1 CTO
"3/4""",x,"2 5/32""",C1S1859,$214.56,1 CTO
,x,2 13/32”,C6V1792,$238.01,0.6 CTO
,x,"2 3/8""",C7H3598,$232.93,1 CTO
"7/8""",x,"2 21/32""",C7H3599,$293.96,0.45 CTO
,x,"3 27/64""",C6V1723,$343.14,0.3 CTO
1”,x,"2 15/16""",C2M5657,$459.04,0.3 CTO
PRECIO DE VENTA POR CIENTO (INCLUYE IGV),,,,,
