TUERCAS RANURADAS MÉTRICAS GR.8,,,,,,
CÓDIGO,ROSCA,"HEX
(mm.)","H
(mm.)","EMP.
(uds.)",CAJA,P. V.
A111011,M10 x 1.25,17,,25,2000 PZA,$0.22
A111012,M12 x 1.25,19,,25,1200 PZA,$0.35
A111013,M12 x 1.50,19,,25,1200 PZA,$0.35
A111015,M14 x 1.50,22,,25,1000 PZA,$0.52
A111016,M16 x 1.25,24,,25,700 PZA,$0.67
A111017,M16 x 1.50,24,,25,700 PZA,$0.67
A111019,M18 x 1.50,27,,25,400 PZA,$0.98
A111020,M20 x 1.50,30,,25,200 PZA,$1.26
A111022,M22 x 1.50,32,,25,150 PZA,$1.50
A111024,M24 x 1.50,36,,25,100 PZA,$2.02
A111027,M27 x 1.50,41,,25,PZA,$2.87
A111030,M30 x 1.50,46,,25,PZA,$4.05
PRECIO DE VENTA POR UNIDAD (INC. IGV),,,,,,
