,,,,,,,Imagen referencial,
TUERCAS ALTAS DE MUELLE EN PULGADAS,,,,,,,,
CÓDIGO,ROSCA,"HEX
(mm.)","H
(mm.)","EMP.
(uds.)",CAJA,"P. V.
GR. 2",,"P. V.
GR. 8"
A092006/0006,"3/8"" - 24 UNF",14.20,,25,2400 PZA,$0.06,,$0.07
A092007/0007,"7/16"" - 20 UNF",17.20,,25,700 PZA,$0.12,,$0.17
A092008/0008,"1/2"" - 20 UNF",19.00,,25,700 PZA,$0.13,,$0.18
A092009/0009,"9/16"" - 18 UNF",21.90,,25,700 PZA,$0.22,,$0.30
A092010/0010,"5/8"" - 18 UNF",24.00,,25,450 PZA,,,$0.34
A092012/0012,"3/4"" - 16 UNF",26.50,,25,300 PZA,,,$0.57
A092014/0014,"7/8"" - 14 UNF",31.40,,25,150 PZA,,,$0.83
A092018/0018,"1"" - 12 UNF",38.00,,25,200 PZA,,,$1.62
A092208/0208,"1/2"" - 13 UNC",19.00,,25,700 PZA,,,$0.18
A092209/0209,"9/16"" - 12 UNC",22.00,,25,500 PZA,,,$0.35
A092210/0210,"5/8"" - 11 UNC",24.00,,25,350 PZA,,,$0.34
A092212/0212,"3/4"" - 10 UNC",28.00,,25,300 PZA,,,$0.61
A092214/0214,"7/8"" - 9 UNC",31.40,,25,150 PZA,,,$0.83
A092216/0216,"1"" - 8 UNC",37.20,,25,140 PZA,,,$1.62
PRECIO DE VENTA POR UNIDAD (INC. IGV),,,,,,,,
