Unnamed: 0,Unnamed: 1,EMP.,Unnamed: 2,Unnamed: 3,Unnamed: 4,EMP..1,Unnamed: 5
,,CAJA,P. V.,,,CAJA,P. V.
,,(uds.),,,,(uds.),
,,1 6 PZA,$18.36,,,1 6 PZA,$16.67
Imagen referencial,,PRECIO DE VENTA POR UNIDAD,,,Imagen referencial,PRECIO DE VENTA POR UNIDAD,
AB4C000003,Marca: Volvo,,,,AB4C000004,"Marca: Volvo, Renault",
,"Modelo: FH12(01-05),",,,,,"Modelo: FH12(93-05), FH16(03-),",
,"FH16(03-06), FM9(01-05),",,,,,"FH(05-), FH4(12-), FM12(98-08),",
,"FM12(01-05), FL6, VM",,,,,"FM(05-), FM9(02-05), NH12(97-) -",
,Dim.: 75 x 148 x 17 mm.,,,,,Kerax(97-),
,Ubicación: Barra,de reacción,,,,Dim.: 85 x 167 x 21 mm.,
,posterior,,,,,Ubicación: Barra de reacción,
,Dureza: Shore 70A,,,,,posterior,
,,,,,,Dureza: Shore 70A,
,,EMP.,,,,EMP.,
,,CAJA,P. V.,,,CAJA,P. V.
,,(uds.),,,,(uds.),
,,1 6 PZA,$34.30,,,1 6 PZA,$51.77
Imagen referencial,,PRECIO DE VENTA POR UNIDAD,,,Imagen referencial,PRECIO DE VENTA POR UNIDAD,
AB4C000005,Marca: Scania,,,,AB4C000006,Marca: Scania,
