Unnamed: 0,EMP.,Unnamed: 1,Unnamed: 2,Unnamed: 3,EMP..1,Unnamed: 4
,CAJA,P. V.,,,CAJA,P. V.
,(uds.),,,,(uds.),
,20 40 PZA,$1.76,,,12 24 PZA,$2.42
Imagen referencial,PRECIO DE VENTA POR UNIDAD,,,Imagen referencial,PRECIO DE VENTA POR UNIDAD,
AB4G000034,Marca: Mercedes-Benz,,,AB4G000035,Marca: Iveco,
,Modelo: Serie L,,,,"Modelo: Daily II/TurboDaily, Daily",
,Dim.: Ø36 x 50 mm.,,,,"III, Daily IV/EcoDaily, Daily V, Daily",
,Ubicación: Barra estabilizadora,,,,VI,
,delantera,,,,Dim.: Ø36 x Ø54 x 35 mm.,
,Dureza: Shore 70A,,,,Ubicación: Barra estabilizadora,
,,,,,delantera,
,,,,,Dureza: Shore 70A,
,EMP.,,,,EMP.,
,CAJA,P. V.,,,CAJA,P. V.
,(uds.),,,,(uds.),
,20 300 PZA,$1.53,,,12 48 PZA,$1.68
Imagen referencial,PRECIO DE VENTA POR UNIDAD,,,Imagen referencial,PRECIO DE VENTA POR UNIDAD,
AB4G000036,Marca: Mercedes-Benz,,,AB4G000037,Marca: Mercedes-Benz,
,Modelo: Atego(Todos),,,,"Modelo: MB Serie 12, 13, 14, 16,",
,Dim.: Ø36 x Ø55 x 47 mm.,,,,"17, Serie L, Serie O500",
,Ubicación: Barra estabilizadora,,,,Dim.: Ø37 x Ø64 x 62 mm.,
,delantera/posterior,,,,Ubicación: Barra estabilizadora,
