SISTEMA DE SUSPENSIÓ,,,51,
PIN DE MUELLE - 2 MUESCAS,,,09,
PIN DE MUELLE - MUESCA CUADRAD,,,11,
PIN DE MUELLE - CABEZA 1⁄2 LUNA,,,12,
PIN DE MUELLE - DOBLE CABEZA 1⁄2 LUN,,,13,
PIN DE MUELLE - 1 MUESCA CON ROSCA,,,13,
PIN DE MUELLE - PESADO,,,14,
PIN DE MUELLE - SHAANXI/SHACMAN,,,15,
PIN DE MUELLE - VOLVO,,,16,
PIN DE MUELLE - SCANIA,,,18,
"PIN DE MUELLE - INTERNATIONAL, KENWORTH, MACK",,,19,
BOCINA BIMETÁLIC,,,20,
BOCINA BIMETÁLICA - ESPECIALE,,,22,
SOPORTE DE MUELL,,,23,
SEPARADOR DE HOJAS DE MUELLE,,,23,
TOPE DE MUELLE,,,24,
COJÍN AUTOMOTRIZ,,,27,
ABRAZADERA DE MUELLE GR. 8/CL. 10.9,,,28,
ABRAZADERA DE MUELLE GR. 2/CL. 5.8,,,31,
"",,,,
FICHAS TÉCNICA,,,34,
APRIETE DE TUERCAS,,,36,
MARCA EN EL PERNO SEGÚN EL GRADO,,,37,
APRIETE DE TUERCAS,,,36,
MARCA EN EL PERNO SEGÚN EL GRADO,,,37,
MARCA EN LA TUERCA SEGÚN EL GRADO,,,37,
MARCAS DE GRADO PARA PERNOS DE ACERO EN PULGADAS,,,38,
MARCAS DE CLASES RESISTENCIA PERNOS DE ACERO EN MILÍMETROS,,,39,
MARCAS DE GRADOS Y CLASES PARA TUERCAS DE ACERO PULGADAS Y MÉTRICAS,,,40,
VALORES DE TORQUE NORMALES SUGERIDOS PARA ELEMENTOS DE SUJECIÓN INDUSTRIAL,,,41,
TABLA DE ROSCAS,,,42,
TABLA DE EQUIVALENCIAS,,,43,
TABLA PARA MEDIR LARGOS,,,44,
"",,,,
CONDICIONES DE VENT,,,46,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
