Unnamed: 0,EMP.,Unnamed: 1,Unnamed: 2,Unnamed: 3,EMP..1,Unnamed: 4
,CAJA,P. V.,,,CAJA,P. V.
,(uds.),,,,(uds.),
,10 PZA,$2.54,,,10 PZA,$3.59
Imagen referencial,PRECIO DE VENTA POR UNIDAD,,,Imagen referencial,PRECIO DE VENTA POR UNIDAD,
AB4O000110,"Marca: Mazda, Ford",,,AB4O000111,"Marca: Nissan, Mazda",
,"Modelo: BT-50, B2600, B2500, B2200,",,,,"Modelo: Vanette, Urvan,","Caravan,"
,"B2000, B1800, Ranger, Everest",,,,"E2500, E2200, E2000, Bongo",
,Dim.: Ø18 x Ø32 x 45 mm.,,,,Dim.: Ø18 x Ø33 x 39 mm.,
,Material: Poliuretano POLINAV,,,,Material: Poliuretano POLINAV,
,Color: Naranja,,,,Color: Naranja,
,Dureza: Shore 80A,,,,Dureza: Shore 80A,
,Ubicación: Muelle posterior,,,,Ubicación: Muelle posterior,
,EMP.,,,,EMP.,
,CAJA,P. V.,,,CAJA,P. V.
,(uds.),,,,(uds.),
,10 PZA,$2.34,,,10 PZA,$2.54
Imagen referencial,PRECIO DE VENTA POR UNIDAD,,,Imagen referencial,PRECIO DE VENTA POR UNIDAD,
AB4O000112,"Marca: Toyota,",,,AB4O000113,Marca: Toyota,
,"Modelo: Land Cruiser, Land",Cruiser,,,Modelo: Land Cruiser,
,Prado,,,,Dim.: Ø18 x Ø41 x 44 mm.,
,Dim.: Ø18 x Ø35 x 45 mm.,,,,Material: Poliuretano POLINAV,
,Material: Poliuretano POLINAV,,,,Color: Naranja,
,Color: Naranja,,,,Dureza: Shore 80A,
,Dureza: Shore 80A,,,,Ubicación: Muelle posterior,
,Ubicación: Muelle delantero/,,,,,
,posterior,,,,,
,EMP.,,,,EMP.,
,CAJA,P. V.,,,CAJA,P. V.
,(uds.),,,,(uds.),
,10 PZA,$2.74,,,10 PZA,$3.71
Imagen referencial,PRECIO DE VENTA POR UNIDAD,,,Imagen referencial,PRECIO DE VENTA POR UNIDAD,
AB4O000114,Marca: Toyota,,,AB4O000115,Marca: Toyota,
