Unnamed: 0,EMP.,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,EMP..1,Unnamed: 5
,CAJA,P. V.,,,,CAJA,P. V.
,(uds.),,,,,(uds.),
,2 PZA,$6.44,,,,100 PZA,$0.81
Imagen referencial,PRECIO DE VENTA POR UNIDAD,,,Imagen referencial,,PRECIO DE VENTA POR UNIDAD,
AE0C000100,"Marca: Hyundai, Universal",,,AE0C000101,Marca:,"Chevrolet, Hyundai,","Mazda,"
,"Modelo: Accent, Universal",,,,Universal,,
,Dim.: Ø5/16” x 5 1⁄2” x 35 mm.,,,,"Modelo: Monza, H100, 626, Universal",,
,Material: Poliuretano POLINAV,,,,Dim.: Ø5/16” x 7” x 58 mm.,,
,Color: Naranja,,,,Material: Poliuretano POLINAV,,
,Dureza: Shore 80A,,,,Color: Naranja,,
,Ubicación: Barra estabilizadora,,,,Dureza: Shore 80A,,
,,,,,Ubicación: Barra estabilizadora,,
,EMP.,,,,,EMP.,
,CAJA,P. V.,,,,CAJA,P. V.
,(uds.),,,,,(uds.),
,2 PZA,$8.98,,,,2 PZA,$9.75
Imagen referencial,PRECIO DE VENTA POR UNIDAD,,,Imagen referencial,,PRECIO DE VENTA POR UNIDAD,
AE0C000102,"Marca: Daewoo, Universal",,,AE0C000103,Marca:,"Mitsubishi, Chevrolet,",
,"Modelo: Racer, Espero,","Cielo,",,,Universal,,
,Universal,,,,Modelo:,"Delica, L300,","Trooper,"
,Dim.: Ø5/16” x 8” x 90 mm.,,,,Universal,,
,Material: Poliuretano POLINAV,,,,Dim.: Ø3/8” x 2 1/2” mm.,,
,Color: Naranja,,,,Material: Poliuretano POLINAV,,
,Dureza: Shore 80A,,,,Color: Naranja,,
,Ubicación: Barra estabilizadora,,,,Dureza: Shore 80A,,
,,,,,Ubicación: Barra estabilizadora,,
,EMP.,,,,,EMP.,
,CAJA,P. V.,,,,CAJA,P. V.
,(uds.),,,,,(uds.),
,2 PZA,$9.35,,,,2 PZA,$4.87
Imagen referencial,PRECIO DE VENTA POR UNIDAD,,,Imagen referencial,,PRECIO DE VENTA POR UNIDAD,
AE0C000104,"Marca: Mitsubishi, Universal",,,AE0C000105,"Marca: Hyundai, Universal",,
