Unnamed: 0,Unnamed: 1,DINA®,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6
,,,,,,,Imagen referencial
,,TUERCA DE LUJO STANDARD,,,,,
,,HEX,,H,EMP.,,
CÓDIGO,DESCRIPCIÓN,ROSCA,,,,CAJA,P. V.
,,(mm.),,(mm.),(uds.),,
A030032,TOYOTA,M12 x 1.50 21,,35,25,250 PZA,$0.60
A030036,NISSAN,M12 x 1.25 21,,35,25,250 PZA,$0.63
A030026,FORD,"1/2"" - 20 UNF 21",,35,25,250 PZA,$0.60
A030028,CHEVROLET,"7/16"" - 20 UNF 21",,35,25,250 PZA,$0.92
A030034,TOYOTA,M12 x 1.50 19,,32,25,250 PZA,$0.55
A030038,NISSAN,M12 x 1.25 19,,32,25,300 PZA,$0.55
A030044,HYUNDAI / KIA,M14 x 1.50 21,,35,25,250 PZA,$0.70
,PRECIO DE VENTA POR UNIDAD (INC. IGV),,,,,,
