CÓD.,LARGO,Ø M5,Ø M6,Ø M8,Ø M10,Ø M12
,,$1.89,$2.27,,,
2.0,10.0,,,,,
,,100 CTO,60 CTO,,,
,,$2.45,$2.68,$5.48,,
3.0,15.0,,,,,
,,77 CTO,50 CTO,25 CTO,,
,,$2.66,$3.04,$5.99,,
4.0,20.0,,,,,
,,68 CTO,43 CTO,21 CTO,,
,,$3.25,$3.52,$7.17,,
5.0,25.0,,,,,
,,55.5 CTO,37.5 CTO,18.5 CTO,,
,,$3.88,$3.94,$8.00,$12.72,$68.05
6.0,30.0,,,,,
,,50 CTO,33.5 CTO,17 CTO,9.5 CTO,1.9 CTO
,,$4.27,$4.35,$8.41,$14.40,
7.0,35.0,,,,,
,,43 CTO,29 CTO,15 CTO,8.8 CTO,
,,$4.83,$4.87,$9.19,$16.05,$77.36
8.0,40.0,,,,,
,,39 CTO,27 CTO,13.5 CTO,8 CTO,1.7 CTO
,,$5.62,$5.62,$10.79,$17.65,$89.60
10.0,50.0,,,,,
,,30 CTO,20 CTO,11 CTO,6 CTO,1.42 CTO
,,,$6.56,$12.24,$20.07,$103.82
12.0,60.0,,,,,
,,,16 CTO,10 CTO,6 CTO,1.2 CTO
,,,,$14.36,,$118.60
14.0,70.0,,,,,
,,,,7 CTO,,1.05 CTO
,,,,$16.31,,$133.80
16.0,80.0,,,,,
,,,,7 CTO,,0.9 CTO
,,,,$19.23,,$156.23
20.0,100.0,,,,,
,,,,6.5 CTO,,0.8 CTO
