Ø,Unnamed: 0,LARGO CÓDIGO,P. V.,Unnamed: 1,EMP.
5/8”,x,"1 7/8"" C3S8182",$128.42,,1.5 CTO
3/4”,x,2 3/8” C3S0336,$237.60,,0.65 CTO
3/4”,x,"2 5/8"" C5P4130",$248.78,,0.7 CTO
7/8”,x,"2 9/16"" C3S7837",$358.79,,0.5 CTO
7/8”,x,"2 9/16"" PESADO C9S2727",$403.49,,0.4 CTO
,,PRECIO DE VENTA POR CIENTO (INCLUYE IGV),,,
,,TUERCA SEGMENTO PULGADA UNF,,,
Ø,,LARGO CÓDIGO,P. V.,,EMP.
"5/8""",x,"3/4"" NF C7H3607",$79.15,,5 CTO
"3/4""",x,"3/4"" NF C7H3608",$120.32,,2.5 CTO
"7/8""",x,"7/8"" NF C7H3609",$172.52,,1.25 CTO
