Unnamed: 0,PRECIO DE VENTA POR UNIDAD (INC. IGV),Unnamed: 1,Unnamed: 2,Unnamed: 3
,CONJUNTO CHUPÓN R/L,,,
,,EMP.,,
CÓDIGO,DESCRIPCIÓN,,,
,,(uds.),CAJA,P. V.
A073010/11,"VOLVO, FORD, INTERNATIONAL, MACK",5,75 JGO,$3.06
A075220/21,"FUSO CANTER, FUSO ROSA, ASIA",5,80 JGO,$3.80
,"FUSO, TOYOTA COASTER, DYNA, ISUZU",,,
A075210/11,"NPR, NISSAN CONDOR, HINO, ASIA",5,,
,COSMOS,,80 JGO,$3.04
A075214/15,MAZDA,5,80 JGO,$3.69
A075230/31,NISSAN CIVILIAN,5,90 JGO,$2.31
A075232/33,"ISUZU, ASIA COMBI",5,100 JGO,$2.54
,PRECIO DE VENTA POR UNIDAD (INC. IGV),,,
