AB4N000001,"Marca: Nissan, Mazda, Isuzu, Baw",AB4N000002,"Marca: Hyndai, Kia"
,Modelo: Atlas(07-13) - Titan(04-) -,,"Modelo: HD35, HD45, HD72,"
,"Forward(98-), ELF(84-) - Fenix(06-)",,"HD75, Mighty - Pamax"
,Dim.: Ø16 x Ø40 x 44 mm.,,Dim.: Ø16 x Ø44 x 43 mm.
,Ubicación: Grillete de muelle,,Ubicación: Grillete de muelle
,posterior,,delantero
,Posición: Delantero,,Posición: Delantero
,Dureza: Shore 70A,,Dureza: Shore 70A
,EMP.,,EMP.
,CAJA P. V.,,CAJA P. V.
,(uds.),,(uds.)
,1 100 PZA $2.82,,1 100 PZA $6.01
Imagen referencial,PRECIO DE VENTA POR UNIDAD,Imagen referencial,PRECIO DE VENTA POR UNIDAD
AB4N000003,Marca:  Iveco,AB4N000004,Marca: Iveco
,"Modelo: Eurocargo, EuroTech",,"Modelo: PowerStar, EuroTech,"
,Dim.: Ø20 x Ø57 x 85 mm.,,"EuroStar, Stralis, AD/AT/AS Stralis,"
,Ubicación: Grillete de muelle,,"EuroTrakker, AD/AT Trakker,"
,delantero,,Euromover
,Posición: Delantero/posterior,,Dim.: Ø20 x Ø62 x 91 mm.
,Dureza: Shore 70A,,Ubicación: Grillete de muelle
,,,delantero
,,,Dureza: Shore 70A
,EMP.,,EMP.
,CAJA P. V.,,CAJA P. V.
,(uds.),,(uds.)
,1 5 PZA $16.58,,1 5 PZA $19.33
Imagen referencial,PRECIO DE VENTA POR UNIDAD,Imagen referencial,PRECIO DE VENTA POR UNIDAD
AB4N000005,Marca: Iveco,AB4N000006,Marca: Volvo
