"","PERNO DE RUEDA","","","","",""
"Marca: BOB CAT","","","","","",""
"Modelo: Cargador","","","","","",""
"Frontal / Minicargador","Ø15.50","","","","",""
"Rosca: 9/16” - 18 UNF","","","","","",""
"L. Total: 40 mm.","","","","","",""
"ØMol: 15.50 mm","DINA®","","","DINA®","",""
"","10.00 mm.","","","","",""
"","40.00 mm.","","","","",""
"","","","","TCA. PAV.","",""
"","","","","M20 x 1.50","",""
"","PERNO DE RUEDA","","","TUERCA CAMPANA","",""
"","CÓDIGO EMP. P. V. P. V.","","","CÓDIGO R/L A010022","",""
"","CAJA","","","","",""
"","COMPLETO R/L (uds.) CL. 10.9 CL. 12.9","","","EMP. (uds.) 25","",""
"","AA/A050070 25 200 PZA $0.91","","","CAJA 480 PZA","",""
"","","","","P. V. $0.94","",""
"","","","","","","9/16” - 18 UNF"
"Marca: Liu Gong","","","","","",""
".00Modelo:  Cargador","Ø20 Ø22.00","","","","",""
"Frontal","","","","","",""
"Rosca1: M20 x 1.50","DINA® DINA®","","","DINA®","",""
"Rosca2: M20 x 1.50","","","","","",""
"L. Total: 122  mm.","","","","","",""
"","45.00 mm.","","","72.00 mm.","",""
"ØCuello: 22.00  mm.","","","","","",""
"","122.00 mm.","","","","",""
"","","","","TCA.","",""
"","CONTRATUERCA","","","","",""
"","","","","CAMPANA","",""
"","PERNO DE RUEDA TUERCA CAMPANA","","","M2C0O xN 1T.5R0ATUERCA","",""
"CÓDIGO","EMP. P. V. P. V. CÓDIGO R/L","","","A310530 CÓDIGO M080220","",""
"","CAJA","","","","",""
"COMPLETO R/L","(uds.) CL. 10.9 CL. 12.9 EMP. (uds.)","","","5 EMP. (uds.)","",""
"AA/A295520","5 50 JGO $5.90 $5.68 CAJA","","","125 PZA CAJA 4.5 CTO","",""
"","P. V.","","","$1.58 P. V. $33.67","",""
"Índice","www.dina.com.pe","","","","103",""
