"TERMINAL DE BARRA ESTABILIZADORA","",""
"AE6A000024 Marca: Toyota AE6A000005","Marca: Toyota,","Hyundai,"
"Modelo: Corolla, Prius, Probox,","Mitsubishi",""
"Urban Cruiser, Vitz, Yaris","Modelo: Celica, Corolla - Avante,",""
"Ubicación: Barra estabilizadora","Coupe, Elantra - Lancer, Mitsubishi",""
"delantera","Ubicación: Barra estabilizadora",""
"Posición: R/L","delantera",""
"","Posición: R/L",""
"EMP.","EMP.",""
"CAJA P. V.","","CAJA P. V."
"(uds.)","(uds.)",""
"10 100 PZA $26.66","10","20 PZA $15.26"
"Imagen referencial PRECIO DE VENTA POR UNIDAD Imagen referencial","PRECIO DE VENTA POR UNIDAD",""
"AE6A000026 Marca: Toyota AE6A000007","Marca: Toyota",""
"Modelo: Caldina, Camry, Celica,","Modelo: Corolla",""
"Corolla, Corona, Sprinter","Ubicación: Barra estabilizadora",""
"Ubicación: Barra estabilizadora","delantera",""
"delantera","Posición: R/L",""
"Posición: R/L","",""
"EMP.","EMP.",""
"CAJA P. V.","","CAJA P. V."
"(uds.)","(uds.)",""
"10 50 PZA $15.62","1","10 PZA $21.90"
"Imagen referencial PRECIO DE VENTA POR UNIDAD Imagen referencial","PRECIO DE VENTA POR UNIDAD",""
"AE6A000023 Marca: Toyota, Chery AE6A000031","Marca: Toyota",""
"Modelo: Rav4, Corolla, Celica","Modelo: Rav4(00-05)",""
"Ubicación: Barra estabilizadora","Ubicación: Barra estabilizadora",""
"delantera","delantera",""
"Posición: R/L","Posición: R",""
"EMP.","EMP.",""
"CAJA P. V.","","CAJA P. V."
"(uds.)","(uds.)",""
"10 50 PZA $15.26","10","20 PZA $17.39"
"Imagen referencial PRECIO DE VENTA POR UNIDAD Imagen referencial","PRECIO DE VENTA POR UNIDAD",""
"AE6A000030 Marca: Toyota AE6A000034","Marca: Toyota",""
"Modelo: Rav4(00-05)","Modelo: 4Runner (96-02)",""
"Ubicación: Barra estabilizadora","Ubicación: Barra estabilizadora",""
"delantera","delantera",""
"Posición: L","Posición: R/L",""
"EMP.","EMP.",""
"CAJA P. V.","","CAJA P. V."
"(uds.)","(uds.)",""
"10 20 PZA $17.39","1","10 PZA $31.20"
"Imagen referencial PRECIO DE VENTA POR UNIDAD Imagen referencial","PRECIO DE VENTA POR UNIDAD",""
"Índice www.dina.com.pe","","165"
