"","PIN DE MUELLE - PESADO","","","","","",""
"A341070","","","","","","",""
"Marca: International","","","","","","",""
"Modelo: Transtar, Navistar S18-S2600,","","","","","","",""
"Navistar Front 25-2600.","DINA®","","","","","",""
"Rosca: M36 x 3.00","","","","","","",""
"L. Total: 7 3⁄8”","","","","","","",""
"ØExt1: 1” ØExt2: 1”","","","","","","",""
"C-C: 5 3⁄4”","","","","","","",""
"Ubicación: Muelle delantero","","","","","","",""
"Posición: Delantero/posterior","CÓDIGO","EMP.","","","P. V.","P. V.",""
"Bocina: Ø1 3⁄4” x 4”.","COMPLETO","(uds.)","CAJA","","CL. 10.9","CL. 12.9",""
"Grado SAE: Gr. 8","AA/A341070","5","10 JGO","","$26.47","$28.04",""
"A341072","","","","","","",""
"Marca: Kenworth","","","","","","",""
"Modelo: C500, C550, K100, K300, T300,","","","","","","",""
"T2000, T300, T450, T600, T800, W900","","","","","","",""
"Rosca: M36 x 3.00","DINA®","","","","","",""
"L. Total: 7 3⁄8”","","","","","","",""
"ØExt1: 1-1/16” ØExt2: 1-1/16”","","","","","","",""
"C-C: 5 3⁄4”","","","","","","",""
"Ubicación: Muelle delantero","","","","","","",""
"Posición: Posterior","CÓDIGO","EMP.","","","P. V.","P. V.",""
"CAJABocina: Ø1 3⁄4” x 4”.","COMPLETO","(uds.)","","","CL. 10.9","CL. 12.9",""
"Grado SAE: Gr. 8","AA/A341072","5","15 JGO","","$26.73","$28.36",""
"A341074","","","","","","",""
"Marca: Kenworth, International","","","","","","",""
"Modelo: Transtar, K100, T300, T2000, T300, T450,","","","","","","",""
"T600, T800, W900 - Transtar, Serie 5000","","","","","","",""
"Rosca: M36 x 3.00","","","","","","",""
"L. Total: 7 3⁄8”","DINA®","","","","","",""
"ØExt1: 1 1⁄2” ØExt2: 1-1/16”","","","","","","",""
"C-C: 5 3⁄4”","","","","","","",""
"Ubicación: Muelle delantero","","","","","","",""
"Posición: Delantero","CÓDIGO","EMP.","","","P. V.","P. V.",""
"Bocina: Ø1 3⁄4” x 4”.","COMPLETO","(uds.)","CAJA","","CL. 10.9","CL. 12.9",""
"Grado SAE: Gr. 8","AA/A341074","5","15 JGO","","$27.81","$29.64",""
"A341077","","","","","","",""
"Marca: Mack","","","","","","",""
"Modelo: FL, FS, RL, RS","","","","","","",""
"Rosca: 1 3⁄8” - 6 UNC","","","","","","",""
"L. Total: 6 7⁄8”","","","","","","",""
"ØExt1: 1 1⁄2” ØExt2: 1 1/16”","","","","","","",""
"C-C: 5 3⁄8”","DINA®","","","","","",""
"Ubicación: Muelle delantero","","","","","","",""
"Posición: Delantero","CÓDIGO","EMP.","CAJA","","P. V.","P. V.",""
"Bocina: Ø1 3⁄4” x 3 1⁄2”.","COMPLETO","(uds.)","","","CL. 10.9","CL. 12.9",""
"Grado SAE: Gr. 8","AA/A341077","","","","","",""
"Índice","www.dina.com.pe","","","","","","219"
