"PERNO SOCKET PULGADA CAB. AVELLANADA UNC - GR. 8","","","","","","","",""
"","","E4803","E4804","E4805","E4806","E4808","E4810","E4812"
"CÓD.","LARGO","Ø 3/16""","Ø 1/4""","Ø 5/16""","Ø 3/8""","Ø 1/2""","Ø 5/8""","Ø 3/4"""
"02","1/2""","$4.72","$5.78","$8.97","$13.09","","",""
"","","100 CTO","50 CTO","30 CTO","20 CTO","","",""
"021","5/8""","$5.07","$6.73","","","","",""
"","","80 CTO","50 CTO","","","","",""
"03","3/4""","$5.90","$7.87","$10.18","$16.46","$27.55","",""
"","","70 CTO","40 CTO","20 CTO","15 CTO","8 CTO","",""
"04","1""","$7.55","$11.17","$12.47","$19.40","$34.27","",""
"","","50 CTO","30 CTO","20 CTO","10 CTO","7 CTO","",""
"05","1 1/4""","$9.09","$11.46","$15.80","$24.01","","",""
"","","30 CTO","25 CTO","15 CTO","10 CTO","","",""
"06","1 1/2""","$11.33","$15.02","$17.31","$26.38","$45.43","$88.28",""
"","","40 CTO","20 CTO","13 CTO","10 CTO","5 CTO","2 CTO",""
"08","2""","$15.10","$18.14","$25.12","$33.15","$57.87","$109.01","$196.97"
"","","0 CTO","10 CTO","8.5 CTO","6 CTO","5 CTO","2.4 CTO","1.5 CTO"
"10","2 1/2""","","$22.79","$31.14","$44.92","$73.58","$145.05","$237.82"
"","","","12 CTO","8 CTO","5 CTO","3 CTO","2 CTO","1.25 CTO"
"12","3""","","$27.60","$37.56","$53.83","$87.03","$152.86","$280.76"
"","10 CTO","7 CTO","5 CTO","2.5 CTO","2 CTO","1.2 CTO","",""
"PRECIO DE VENTA POR CIENTO (INCLUYE IGV)","","","","","","","",""
