"","","","","LÍNEA INDUSTRIAL","","",""
"","","","","PERNO HEXAGONAL MÉTRICO RF - CL. 8.8 PAVONADO","","",""
"","","","M2508","M2560 M2510 M2562 M2512 M2514 M2516 M2518","","M2520",""
"","CÓD. LARGO","","M8 X 1.00","M10 X 1.00 M10 X 1.25 M12 X 1.25 M12 X 1.50 M14 X 1.50 M16 X 1.50 M18 X 1.50","","M20 X 1.50",""
"","","","$9.66","$15.38","","",""
"","04 20","","","","","",""
"","","","16 CTO","12 CTO","","",""
"","","","$10.83","$17.11 $18.00 $21.59 $21.66","","",""
"","05 25","","","","","",""
"","","","16 CTO","8 CTO 10 CTO 7 CTO 7 CTO","","",""
"","","","$12.85","$20.53 $19.86 $22.30 $36.51","","",""
"","06 30","","","","","",""
"","","","14 CTO","8 CTO 9.5 CTO 6.5 CTO 4.5 CTO","","",""
"","","","","$19.94 $39.44","","",""
"","07 35","","","","","",""
"","","","","8.5 CTO 3.5 CTO","","",""
"","","","","$20.13 $28.53 $28.15 $43.06 $67.94","","",""
"","08 40","","","","","",""
"","","","","7.5 CTO 5.5 CTO 5 CTO 3.7 CTO 2.8 CTO","","",""
"","","","","$24.21 $32.49 $46.00","","",""
"","09 45","","","","","",""
"","","","","7 CTO 5 CTO 3.4 CTO","","",""
"","","","","$29.15 $35.58 $49.43 $114.86","","",""
"","10 50","","","","","",""
"","","","","6.5 CTO 4.5 CTO 3.12 CTO 1.8 CTO","","",""
"","","","","$30.08 $40.64 $57.97 $121.72","","$163.63",""
"","12 60","","","","","",""
"","","","","5.5 CTO 4 CTO 2.8 CTO 1.6 CTO","","1.2 CTO",""
"","","","","$45.03 $45.81 $65.61 $95.49","","",""
"","14 70","","","","","",""
"","","","","3.5 CTO 3.5 CTO 2.4 CTO 1.8 CTO","","",""
"","","","","PRECIO DE VENTA POR CIENTO (INCLUYE IGV)","","",""
"","","","","TUERCA HEXAGONAL MÉTRICA RF PAVONADO","","",""
"","","","08","10 5210 5212 12 14 16 18","","20",""
"","CÓD.","","M8 X 1.00","M10 X 1.00 M10 X 1.25 M12 X 1.25 M12 X 1.50 M14 X 1.50 M16 X 1.50 M18 X 1.50","","M20 X 1.50",""
"","","","$2.86","$5.16 $7.71 $10.94 $14.74 $20.72","","",""
"","M0502","","","","","",""
"","","","55 CTO","24 CTO 16 CTO 12 CTO 8.5 CTO 6 CTO","","",""
"","","","","ARANDELA PLANA ESTÁNDAR MÉTRICA TROPICALIZADO","","",""
"","","","08","10 5210 5212 12 14 16 18","","20",""
"","CÓD.","","M8","M10 M10 M12 M12 M14 M16 M18","","M20",""
"","","","$0.96","$1.70 $3.14 $4.99 $6.04 $8.24","","$9.59",""
"","M1209","","","","","",""
"","","","CTO","CTO CTO CTO CTO CTO","","CTO",""
"","","","","PRECIO DE VENTA POR CIENTO (INCLUYE IGV)","","",""
"62","","","","@dinafastener","","Índice","62"
