"TUERCA HEXAGONAL MÉTRICA RF - CL. 10 PAVONADA","","","","","","","","","","",""
"","","10","10","12","12","14","16","18","20","",""
"CÓD.","M10 X 1.00","M10 X 1.25","M12 X 1.25","M12 X 1.50","M14 X 1.50","M16 X 1.50","M18 X 1.50","M20 x 1.50","M22 x 1.50","M24 x 1.50",""
"M0802","","","","","","","","$33.67","","",""
"","","","","","","","","","4.5 CTO","",""
"ARANDELA PLANA ESTÁNDAR MÉTRICA - TROPICALIZADA","","","","","","","","","","",""
"","","10","10","12","12","14","16","18","20","",""
"CÓD.","M10","M10","M12","M12","M14","M16","M18","M20","M22","M24",""
"M1209","$1.70","$1.70","$3.14","$3.14","$4.99","$6.04","$8.24","$9.59","","",""
"CTO","CTO","CTO","CTO","CTO","CTO","CTO","CTO","","","",""
"PRECIO DE VENTA POR CIENTO (INCLUYE IGV)","","","","","","","","","","",""
"","","","","","","","","","","",""
