LÍNEA ALLEN
PERNO SOCKET PULGADA CAB. AVELLANADA UNC - GR. 8,,,,,,,,
"",,E4803,E4804,E4805,E4806,E4808,E4810,E4812
CÓD.,LARGO,"Ø 3/16""","Ø 1/4""","Ø 5/16""","Ø 3/8""","Ø 1/2""","Ø 5/8""","Ø 3/4"""
02,"1/2""",$4.72,$5.78,$8.97,$13.09,,,
"",,100 CTO,50 CTO,30 CTO,20 CTO,,,
021,"5/8""",$5.07,$6.73,,,,,
"",,80 CTO,50 CTO,,,,,
03,"3/4""",$5.90,$7.87,$10.18,$16.46,$27.55,,
"",,70 CTO,40 CTO,20 CTO,15 CTO,8 CTO,,
04,"1""",$7.55,$11.17,$12.47,$19.40,$34.27,,
"",,50 CTO,30 CTO,20 CTO,10 CTO,7 CTO,,
05,"1 1/4""",$9.09,$11.46,$15.80,$24.01,,,
"",,30 CTO,25 CTO,15 CTO,10 CTO,,,
06,"1 1/2""",$11.33,$15.02,$17.31,$26.38,$45.43,$88.28,
"",,40 CTO,20 CTO,13 CTO,10 CTO,5 CTO,2 CTO,
08,"2""",$15.10,$18.14,$25.12,$33.15,$57.87,$109.01,$196.97
"",,0 CTO,10 CTO,8.5 CTO,6 CTO,5 CTO,2.4 CTO,1.5 CTO
10,"2 1/2""",,$22.79,$31.14,$44.92,$73.58,$145.05,$237.82
"",,,12 CTO,8 CTO,5 CTO,3 CTO,2 CTO,1.25 CTO
12,"3""",,$27.60,$37.56,$53.83,$87.03,$152.86,$280.76
"",10 CTO,7 CTO,5 CTO,2.5 CTO,2 CTO,1.2 CTO,,
PRECIO DE VENTA POR CIENTO (INCLUYE IGV),,,,,,,,
PERNO SOCKET MÉTRICO CAB. AVELLANADA RC - CL. 10.9,,,,,,
"",,M4804,M4805,M4806,M4808,M4810
CÓD.,LARGO,Ø M4,Ø M5,Ø M6,Ø M8,Ø M10
02,12,$3.37,$4.72,$3.61,,
"",,150 CTO,100 CTO,60 CTO,,
03,16,$3.89,$5.84,$4.33,$8.65,
"",,100 CTO,70 CTO,50 CTO,28 CTO,
04,20,$4.67,$6.63,$5.17,$9.79,$17.48
"",,100 CTO,60 CTO,45 CTO,21 CTO,13 CTO
05,25,$5.71,$8.28,$6.84,$11.82,$22.44
"",,80 CTO,50 CTO,35 CTO,17 CTO,12 CTO
06,30,$7.07,$9.62,$7.92,$14.16,$26.00
"",,60 CTO,20 CTO,30 CTO,15 CTO,10 CTO
07,35,,$11.67,$8.18,$15.28,$25.45
"",,,20 CTO,20 CTO,15 CTO,10 CTO
08,40,,$13.53,$11.14,$18.17,$32.67
"",,,20 CTO,19.5 CTO,15 CTO,9 CTO
09,45,,$15.86,$11.06,,$33.10
"",,,30 CTO,20 CTO,,8 CTO
10,50,,$17.50,$12.98,$23.68,$37.75
"",,,25 CTO,10 CTO,12 CTO,6.5 CTO
12,60,,,,,$45.55
"",,,,5 CTO,,
PRECIO DE VENTA POR CIENTO (INCLUYE IGV),,,,,,
""
Índice
www.dina.com.pe
www.dina.com.pe
