ÍNDICE INTERACTIVO,,
TABLA DE CONTENIDO,PÁGINA,
LA EMPRESA,10,
HISTORIA DE LA EMPRESA,10,
NUESTRAS LÍNEAS,12,
FABRICACIONES ESPECIALES,13,
REDES SOCIALES,14,
LÍNEA PERNERÍA INOXIDABLE,15,
PERNO HEXAGONAL PULGADA UNC - AC. INOX 304,17,
PERNO HEXAGONAL MÉTRICO RC - AC. INOX 304,19,
TUERCA HEXAGONAL PULGADA UNC - AC. INOX 304,22,
ARANDELA PULGADA - AC. INOX 304,22,
TUERCA HEXAGONAL MÉTRICO RC - AC. INOX 304,23,
ARANDELA MÉTRICA - AC. INOX 304,23,
BARRA ROSCADA PULGADA UNC 1.00 m - AC. INOX 304,24,
BARRA ROSCADA MÉTRICA UNC 1.00 - AC. INOX 304,24,
PERNO SOCKET CAB. CILÍNDRICA PULGADA UNC - AC. INOX 304,26,
PERNO SOCKET MÉTRICO RC - AC. INOX 304,27,
PERNO SOCKET CAB. AVELLANADA PULGADA UNC - AC. INOX 304,28,
PERNO SOCKET CAB. AVELLANADA MÉTRICO RC - AC. INOX 304,29,
PRISIONERO ALLEN PULGADA UNC - AC. INOX 304,30,
PRISIONERO ALLEN MÉTRICO RC - AC. INOX 304,30,
PERNO SOCKET BUTTON PULGADA UNC - AC. INOX 304,31,
PERNO SOCKET BUTTON MÉTRICO RC - AC. INOX 304,31,
PERNO CAB. COCHE PULGADA UNC - AC. INOX 304,32,
TIRAFÓN HEXAGONAL PULGADA UNC - AC. INOX 304,33,
TORNILLO AUTORROSCANTE CAB. PAN PULGADA - AC. INOX 304,34,
TORNILLO AUTORROSCANTE CAB. FLAT PULGADA - AC. INOX 304,35,
STOVE BOLT CAB. PAN PULGADA - AC. INOX 304,36,
TORNILLO STOVE BOLT CAB. FLAT PULGADA - AC. INOX 304,37,
STOVE BOLT CAB. PAN MÉTRICO - AC. INOX 304,38,
TORNILLO STOVE BOLT CAB. FLAT MÉTRICO - AC. INOX 304,39,
TORNILLO AUTOPERFORANTE CAB. HEXAGONAL PULGADA - AC. INOX 304,40,
PERNO DE EXPANSIÓN PULGADA - AC. INOX 304,41,
PERNO HEXAGONAL PULGADA UNC - AC. INOX 316,42,
PERNO HEXAGONAL MÉTRICO RC - AC. INOX 316,44,
BARRA ROSCADA PULGADA UNC 1.00 m - AC. INOX 316,46,
PERNO SOCKET CAB. CILÍNDRICA PULGADA UNC - AC. INOX 316,47,
www.dina.com.pe,,5
