"",,,LÍNEA INDUSTRIAL,,,
"",,,PERNO HEXAGONAL PULGADA UNC - GR. 8 PAVONADO,,,
"",,,E2604 E2605 E2606 E2607 E2608 E2609 E2610,,,
"",CÓD. LARGO,,"Ø 1/4"" Ø 5/16"" Ø 3/8"" Ø 7/16"" Ø 1/2"" Ø 9/16"" Ø 5/8""",,,
"",,,$4.11 $5.69,,,
"","02 1/2""",,,,,
"",,,0 CTO 28 CTO,,,
"",,,$4.17 $6.62 $9.50,,,
"","03 5/8""",,,,,
"",,,38.5 CTO 23.5 CTO 16 CTO,,,
"",,,$4.70 $7.71 $11.15 $16.34 $23.41 $41.39,,,
"","04 3/4""",,,,,
"",,,33.5 CTO 20 CTO 13.5 CTO 9.7 CTO 6 CTO 3 CTO,,,
"",,,$5.78 $9.11 $12.86 $18.88 $28.86,,,
"",05,"1""",,,,
"",,,20 CTO 17 CTO 12 CTO 8.5 CTO 5 CTO,,,
"",,,$6.64 $10.62 $15.19 $20.36 $31.87 $37.80 $47.68,,,
"","06 1 1/4""",,,,,
"",,,23 CTO 14 CTO 10.5 CTO 7 CTO 4.8 CTO 4.2 CTO 3.05 CTO,,,
"",,,$17.94,,,
"","07 1 1/2""",,,,,
"",,,9 CTO,,,
"",,,$8.84 $13.46 $19.29 $26.24 $37.06 $45.88 $56.97,,,
"",08,"2""",,,,
"",,,15 CTO 11 CTO 7.9 CTO 6 CTO 3.9 CTO 3.27 CTO 2.5 CTO,,,
"",,,$11.75 $16.32 $23.82 $32.38 $44.72 $55.46 $69.62,,,
"","10 2 1/2""",,,,,
"",,,14 CTO 8.5 CTO 6.2 CTO 4.25 CTO 3 CTO 2.75 CTO 2 CTO,,,
"",,,$12.80 $18.99 $27.68 $38.21 $52.07 $64.68 $79.78,,,
"",12,"3""",,,,
"",,,11 CTO 6.5 CTO 5.5 CTO 3.5 CTO 2.5 CTO 2.3 CTO 1.9 CTO,,,
"",,,$21.35 $31.91 $43.61 $59.79 $73.96 $90.92,,,
"","14 3 1/4""",,,,,
"",,,5.5 CTO 4.5 CTO 3.5 CTO 2.5 CTO 2 CTO 1.6 CTO,,,
"",,,$17.94 $26.17 $36.75 $49.81 $67.33 $83.06 $102.46,,,
"","16 3 1/2""",,,,,
"",,,9 CTO 5 CTO 4.25 CTO 3 CTO 2.3 CTO 1.7 CTO 1.4 CTO,,,
"",,,$40.72 $74.99 $100.30 $113.02,,,
"",18,"4""",,,,
"",,,3.7 CTO 2 CTO 1.6 CTO 1.3 CTO,,,
"",,,PRECIO DE VENTA POR CIENTO (INCLUYE IGV),,,
"",,,TUERCA HEXAGONAL PULGADA UNC - GR. 8 PAVONADA,,,
"",,,04 05 06 07 08 09 10,,,
"",CÓD.,,"Ø 1/4"" Ø 5/16"" Ø 3/8"" Ø 7/16"" Ø 1/2"" Ø 9/16"" Ø 5/8""",,,
"",,,$2.62 $3.96 $6.99 $9.13 $14.84 $18.27,,,
"",E0800,,,,,
"",,,50 CTO 36 CTO 20 CTO 15 CTO 9.5 CTO 8 CTO,,,
"",,,ARANDELA PLANA ESTÁNDAR PULGADA TROPICALIZADA,,,
"",,,04 05 06 07 08 09 10,,,
"",CÓD.,,"Ø 1/4"" Ø 5/16"" Ø 3/8"" Ø 7/16"" Ø 1/2"" Ø 9/16"" Ø 5/8""",,,
"",,,$3.43 $3.73 $4.37 $5.45 $8.52 $9.24 $12.98,,,
"",E1101,,,,,
"",,,0 CTO 0 CTO 0 CTO 0 CTO 0 CTO 0 CTO 0 CTO,,,
"",,,PRECIO DE VENTA POR CIENTO (INCLUYE IGV),,,
64,,,@dinafastener,,Índice,64
