"",,,LÍNEA INDUSTRIAL,,
"",,,PERNO HEXAGONAL PULGADA UNC - GR. 8 PAVONADO,,
"",,,E2604 E2605 E2606 E2607 E2608 E2609,E2610,
"",,CÓD.,"LARGO Ø 1/4"" Ø 5/16"" Ø 3/8"" Ø 7/16"" Ø 1/2"" Ø 9/16""","Ø 5/8""",
"",,,$40.72 $74.99 $100.30,$113.02,
"",,18,"4 1/2""",,
"",,,3.7 CTO 2 CTO 1.6 CTO,1.3 CTO,
"",,,$45.01 $60.98 $82.58 $102.22,$124.91,
"",,20,"5""",,
"",,,3.5 CTO 2.5 CTO 1.9 CTO 1.5 CTO,1.1 CTO,
"",,,$50.86 $88.77,$136.11,
"",,22,"5 1/2""",,
"",,,3 CTO 1.5 CTO,1 CTO,
"",,,$52.66 $74.87 $97.53 $120.84,$146.85,
"",,24,"6""",,
"",,,2.8 CTO 1.7 CTO 1.4 CTO 1.2 CTO,1 CTO,
"",,,$111.73,$170.23,
"",,28,"7""",,
"",,,1.35 CTO,0.8 CTO,
"",,,$69.31 $127.42,$190.59,
"",,32,"8""",,
"",,,2.2 CTO 1.3 CTO,0.75 CTO,
"",,,$147.43,$212.35,
"",,36,"9""",,
"",,,1 CTO,0.7 CTO,
"",,,$86.82 $164.99,$247.88,
"",,40,"10""",,
"",,,1.75 CTO 0.9 CTO,0.58 CTO,
"",,44,"11""",,
"",,48,"12""",,
"",,52,"13""",,
"",,56,"14""",,
"",,,PRECIO DE VENTA POR CIENTO (INCLUYE IGV),,
"",,,TUERCA HEXAGONAL PULGADA UNC - GR. 8 PAVONADA,,
"",,,04 05 06 07 08 09,10,
"",,CÓD.,"Ø 1/4"" Ø 5/16"" Ø 3/8"" Ø 7/16"" Ø 1/2"" Ø 9/16""","Ø 5/8""",
"",,,$2.62 $3.96 $6.99 $9.13 $14.84,$18.27,
"",,E0800,,,
"",,,50 CTO 36 CTO 20 CTO 15 CTO 9.5 CTO,8 CTO,
"",,,ARANDELA PLANA ESTÁNDAR PULGADA TROPICALIZADA,,
"",,,04 05 06 07 08 09,10,
"",,CÓD.,"Ø 1/4"" Ø 5/16"" Ø 3/8"" Ø 7/16"" Ø 1/2"" Ø 9/16""","Ø 5/8""",
"",,,$3.43 $3.73 $4.37 $5.45 $8.52 $9.24,$12.98,
"",,E1101,,,
"",,,0 CTO 0 CTO 0 CTO 0 CTO 0 CTO 0 CTO,0 CTO,
"",,,PRECIO DE VENTA POR CIENTO (INCLUYE IGV),,
65,Índice,,www.dina.com.pe,,65
