"",,LÍNEA INDUSTRIAL,,
"",,PERNO HEXAGONAL MÉTRICO RC - CL. 10.9 PAVONADO,,
"",,M2606 M2608 M2610 M2612 M2614,M2616,
"",,CÓD. LARGO Ø M6 Ø M8 Ø M10 Ø M12 Ø M14,Ø M16,
"",,$27.13 $46.11 $63.24 $91.32,$116.73,
"",,22 110,,
"",,4 CTO 3 CTO 2.3 CTO 1.5 CTO,1 CTO,
"",,$31.82 $49.74 $67.68 $103.36,$127.35,
"",,24 120,,
"",,4 CTO 2.8 CTO 2.1 CTO 1.5 CTO,1 CTO,
"",,$33.08 $53.24 $75.98 $111.37,$135.07,
"",,26 130,,
"",,4 CTO 2 CTO 2 CTO 1.5 CTO,0.9 CTO,
"",,$36.07 $55.84 $81.40 $119.31,$146.79,
"",,28 140,,
"",,3 CTO 1.8 CTO 1.5 CTO 1.4 CTO,1 CTO,
"",,$38.49 $60.55 $82.38 $120.81,$149.02,
"",,30 150,,
"",,4.3 CTO 1.6 CTO 1.86 CTO 1 CTO,1 CTO,
"",,$88.36,$161.64,
"",,32 160,,
"",,1.6 CTO,0.9 CTO,
"",,$72.23 $102.49 $150.14,$180.52,
"",,36 180,,
"",,2.2 CTO 1.5 CTO 0.8 CTO,0.8 CTO,
"",,$83.70 $113.56 $167.54,$197.31,
"",,40 200,,
"",,2 CTO 1.2 CTO 1 CTO,0.75 CTO,
"",,44 220,,
"",,50 250,,
"",,56 280,,
"",,60 300,,
"",,PRECIO DE VENTA POR CIENTO (INCLUYE IGV),,
"",,TUERCA HEXAGONAL MÉTRICA RC - CL. 8 PAVONADA,,
"",,06 08 10 12 14,16,
"",,CÓD. Ø M6 Ø M8 Ø M10 Ø M12 Ø M14,Ø M16,
"",,$1.05 $2.86 $5.16 $7.71 $10.94,$14.74,
"",,M0500,,
"",,119 CTO 54 CTO 24 CTO 16 CTO 11 CTO,8 CTO,
"",,ARANDELA PLANA ESTÁNDAR MÉTRICA RC - CL. 8.8 TROPICALIZADA,,
"",,06 08 10 12 14,16,
"",,CÓD. Ø M6 Ø M8 Ø M10 Ø M12 Ø M14,Ø M16,
"",,$0.55 $0.96 $1.70 $3.14 $4.99,$6.04,
"",,M1209,,
"",,CTO CTO CTO CTO CTO,CTO,
"",,PRECIO DE VENTA POR CIENTO (INCLUYE IGV),,
69,Índice,www.dina.com.pe,,69
