"",,LÍNEA INDUSTRIAL,,,,,
"",,ARANDELA PLANA PESADA,,,,,
"",,E1110 E1112 E1111 E1113,,,DIMENSIONES,,
"",,SIN ZINCAR ZINCADO SIN ZINCAR ZINCADO,,,,,
CÓD. Ø,,CANT. X KG. CANT.,,Ø INT.,Ø EXT.,ESP.,
"",,KG. KG. CIENTO CIENTO,,,,,
"",,$4.90 $8.41,,,,,
"08 1/2""",,64,,14.20,35.00,2.50,
"",,25 KGS 25 KGS 0 CTO 0 CTO,,,,,
"",,$4.90 $20.72,,,,,
"10 5/8""",,26,,17.50,44.50,3.60,
"",,25 KGS 25 KGS 0 CTO 0 CTO,,,,,
"",,$5.39 $26.96,,,,,
"12 3/4""",,22,,20.90,50.80,3.40,
"",,25 KGS 25 KGS 0 CTO 0 CTO,,,,,
"",,$4.90 $29.92,,,,,
"14 7/8""",,18,,24.20,57.50,3.50,
"",,25 KGS 25 KGS 0 CTO 0 CTO,,,,,
"",,$4.90 $44.89,,,,,
"16 1""",,12,,27.00,63.50,4.20,
"",,25 KGS 25 KGS 0 CTO 0 CTO,,,,,
"",,$5.51 $67.35,,,,,
"20 1 1/8""",,9,,32.00,70.00,4.00,
"",,25 KGS 25 KGS 0 CTO 0 CTO,,,,,
"",,$5.51 $75.77,,,,,
"22 1 1/4""",,8,,35.00,76.40,4.20,
"",,25 KGS 25 KGS 0 CTO 0 CTO,,,,,
"",,$5.51 $86.60,,,,,
"24 1 3/8""",,7,,38.50,82.00,5.00,
"",,25 KGS 25 KGS 0 CTO 0 CTO,,,,,
"",,$5.51 $101.03,,,,,
"26 1 1/2""",,6,,41.50,88.80,5.00,
"",,25 KGS 25 KGS 0 CTO 0 CTO,,,,,
"",,$5.51 $151.55,,,,,
"28 1 3/4""",,4,,48.10,101.50,4.80,
"",,25 KGS 25 KGS 0 CTO 0 CTO,,,,,
"",,$5.51 $202.05,,,,,
"30 2""",,3,,54.00,114.00,5.00,
"",,25 KGS 25 KGS 0 CTO 0 CTO,,,,,
"",,PRECIO DE VENTA POR KG. SON APROXIMADOS (INCLUYE IGV),,,,,
"",,ARANDELA PLANA PESADA ALA CORTA,,,,,
"",,E1110 E1112 E1111 E1113,,,DIMENSIONES,,
"",,SIN ZINCAR ZINCADO SIN ZINCAR ZINCADO,,,,,
CÓD. Ø,,CANT. X KG. CANT.,,Ø INT.,Ø EXT.,ESP.,
"",,KG. KG. CIENTO CIENTO,,,,,
"",,$4.90 $8.41,,,,,
"08 1/2""",,,,13.50,27.00,3.00,
"",,25 KGS 25 KGS 0 CTO 0 CTO,,,,,
"",,PRECIO DE VENTA POR KG. SON APROXIMADOS (INCLUYE IGV),,,,,
Índice,,www.dina.com.pe,,,,,83
