LÍNEA TORNILLERÍA
PERNO CAB. COCHE ZINCADO,,,,,,
"",,E2904,E2905,E2906,E2908,E2910
CÓD.,LARGO,"Ø 1/4""","Ø 5/16""","Ø 3/8""","Ø 1/2""","Ø 5/8"""
03,"3/4""",$3.73,$6.40,,,
"",,36 CTO,22 CTO,,,
04,"1""",$4.04,$6.89,$11.20,$23.12,
"",,32 CTO,18.5 CTO,12.5 CTO,5.5 CTO,
05,"1 1/4""",$4.94,$8.25,$12.74,$24.91,
"",,27 CTO,16 CTO,11 CTO,5.3 CTO,
06,"1 1/2""",$5.25,$8.47,$13.44,$27.20,
"",,24 CTO,15 CTO,9 CTO,4.8 CTO,
08,"2""",$6.30,$10.55,$16.35,$33.21,
"",,17 CTO,13 CTO,8.2 CTO,4 CTO,
10,"2 1/2""",$7.50,$12.19,$19.53,$36.93,$60.13
"",,17 CTO,10 CTO,6.5 CTO,3 CTO,1.9 CTO
12,"3""",$8.56,$14.02,$21.28,$42.42,$69.76
"",,10 CTO,8.5 CTO,6 CTO,2.5 CTO,1.75 CTO
13,"3 1/4""",$9.00,,,,
"",,8.5 CTO,,,,
14,"3 1/2""",$9.90,$16.00,$23.55,$49.98,
"",,13 CTO,7 CTO,4.5 CTO,2.15 CTO,
16,"4""",$11.01,$17.97,$26.13,$55.05,$88.26
"",,6 CTO,6.5 CTO,4.7 CTO,2 CTO,1.3 CTO
18,"4 1/2""",$12.77,$21.95,$31.38,$59.55,
"",,5 CTO,6 CTO,4 CTO,1.7 CTO,
20,"5""",$13.31,$22.62,$31.98,$63.09,$100.72
"",,5 CTO,5.5 CTO,3.8 CTO,2.06 CTO,1.25 CTO
22,"5 1/2""",$15.17,$25.88,$36.07,,
"",,6 CTO,3 CTO,3.5 CTO,,
24,"6""",$16.01,$26.41,$36.79,$69.27,$117.48
"",,7 CTO,4.98 CTO,3.3 CTO,1.77 CTO,1.09 CTO
28,"7""",,$32.21,$42.09,$82.31,$139.77
"",,,4.2 CTO,2 CTO,1.25 CTO,1 CTO
32,"8""",,$35.81,$49.03,$99.37,$154.84
"",,,3.8 CTO,2 CTO,1.25 CTO,0.9 CTO
36,"9""",,,$54.29,$106.71,
"",,,,2 CTO,1.2 CTO,
40,"10""",,,$65.58,$117.63,
"",,2 CTO,1.1 CTO,,,
PRECIO DE VENTA POR CIENTO (INCLUYE IGV),,,,,,
""
Índice
www.dina.com.pe
www.dina.com.pe
