"",,,,,,
"",,,,,LÍNEA TORNILLERÍA,
"",,,REMACHE CIEGO,,,
"",,,E9000 E9002,E9003,E9004,
"",CÓD.,LARGO,"1/8"" - (3.2) 5/32"" - (4.2)","3/16"" - (4.8)","1/4"" - (6.3)",
"",,,$11.88 $15.66,,,
"",04,"1/4"" - (6.3)",,,,
"",,,20 MLL 14 MLL,,,
"",,,$12.30 $16.41,,,
"",05,"5/16"" - (8.0)",,,,
"",,,20 MLL 20 MLL,,,
"",,,$12.65 $17.09,$23.71,$81.74,
"",06,"3/8"" - (9.5)",,,,
"",,,20 MLL 20 MLL,10 MLL,5 MLL,
"",,,$12.91 $18.10,$26.48,$72.71,
"",08,"1/2"" - (12.7)",,,,
"",,,20 MLL 10 MLL,10 MLL,5 MLL,
"",,,$15.21 $21.49,$29.23,,
"",10,"5/8"" - (15.9)",,,,
"",,,20 MLL 10 MLL,10 MLL,,
"",,,$15.79 $22.86,$32.07,$83.59,
"",12,"3/4"" - (19.0)",,,,
"",,,20 MLL 10 MLL,10 MLL,5 MLL,
"",,,$18.37 $25.35,$36.17,$85.95,
"",16,"1 "" - (25.4)",,,,
"",,,10 MLL 4.5 MLL,5 MLL,MLL,
"",,,,$40.64,,
"",17,"1 1/16""(26.9)",,,,
"",,,,10 MLL,,
"",,PRECIO DE VENTA POR MILLAR (INCLUYE IGV),,,,
"",REMACHE CIEGO ALA ANCHA,,,,,
"",,,E9000 E9013,,,
"",CÓD.,LARGO,"3/32"" - (2.4) 3/16"" - (4.8)",,,
"",,,$7.68,,,
"",01,"7/32"" - (5.6)",,,,
"",,,80 MLL,,,
"",,,$53.96,,,
"",08,"1/2"" - (12.7)",,,,
"",,,10 MLL,,,
"",,,$54.24,,,
"",10,"5/8"" - (15.9)",,,,
"",,,3 MLL,,,
"",,,$57.04,,,
"",12,"3/4"" - (19)",,,,
"",,,2.5 MLL,,,
"",,"15/16"" -",$64.85,,,
"",15,,,,,
"",,(23.8),5 MLL,,,
"",,,$69.66,,,
"",16,"1"" - (25.4)",,,,
"",,,2.5 MLL,,,
"",,"1 1/16"" -",$75.85,,,
"",17,,,,,
"",,(26.9),5 MLL,,,
"",PRECIO DE VENTA POR MILLAR (INCLUYE IGV),,,,,
96,,,,,@dinafastener,Índice
